run,repetition,module,name,value
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.0011331048053345
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.0010964889804879
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.0010874446566754
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.0011176991135835
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.0011095456333405
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.0011351724667382
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.0011353115032749
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.001091136889953
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.0011385446681221
General-120-20221231-12:33:15-3880,0,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.0011015627450716
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.0011353007118421
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.0011238235799665
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.0011493798330465
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.0011040339517048
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.0011203938428787
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.0010968609029873
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.0011232865491907
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.0011461307410222
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.0011228487370091
General-121-20221231-12:33:15-3864,1,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.0011112699683008
