run,repetition,module,name,value
General-4-20221231-12:32:32-5804,4,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00050749388537536
General-4-20221231-12:32:32-5804,4,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00052038561622306
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052674971238149
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052955408214533
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051590544020709
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00050350860740573
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.00053137712871499
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00053578558760895
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[6],userResponseTime:mean,0.00051090840453119
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[7],userResponseTime:mean,0.00052010636169291
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[8],userResponseTime:mean,0.00055058482731208
General-5-20221231-12:32:32-2888,5,OpportunisticCellularNetwork.cellular[9],userResponseTime:mean,0.00051089253147293
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[0],userResponseTime:mean,0.00052020242838774
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[1],userResponseTime:mean,0.00052752589300387
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[2],userResponseTime:mean,0.00051803936289309
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[3],userResponseTime:mean,0.00052301375012766
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[4],userResponseTime:mean,0.0005271863978672
General-6-20221231-12:32:32-18328,6,OpportunisticCellularNetwork.cellular[5],userResponseTime:mean,0.00050280392087436
