time,value
1.75,0.004705348850999999
1.75,0.004704497796999999
1.75,0.004691698193999999
1.75,0.004650012186
1.75,0.004338023955999999
1.75,0.004294306818999999
1.75,0.003885237595999999
1.75,0.003801703772999999
1.75,0.003424474805
1.75,0.003275680617
1.75,0.002985540026999999
1.75,0.002958866493999999
1.75,0.002801804701999999
1.75,0.002679595800999999
1.75,0.002618654366
1.75,0.002587907524999999
1.75,0.002508187633999999
1.75,0.002379315372
1.75,0.002339691384999999
1.75,0.002136579708
1.75,0.002098442446999999
1.75,0.001792290681
1.75,0.001771758585999999
1.75,0.001490666894999999
1.75,0.001485766157999999
1.75,0.001442734411999999
1.75,0.001206577028999999
1.75,0.001091188453999999
1.75,0.000931804305999999
1.75,0.000823418893999999
1.75,0.000560614392
1.75,0.000298690041999999
1.754,0.003922468840999998
1.754,0.003751929296999999
1.754,0.003743919483999999
1.754,0.003725379805999999
1.754,0.003189470227
1.754,0.003142017369999999
1.754,0.002839920050999999
1.754,0.002296177636999999
1.754,0.002169236110999999
1.754,0.002050312652999999
1.754,0.001966141197999999
1.754,0.001682636415
1.754,0.001650414934999999
1.768,0.015499882633999997
1.768,0.015470196672999997
1.768,0.015407328964999997
1.768,0.015131417211999998
1.768,0.015021847354999999
1.768,0.014792874397999998
1.768,0.014640455484999998
1.768,0.014526915623
1.768,0.014511127186999997
1.768,0.014095812120999997
1.768,0.01273284476
1.768,0.012576607542
1.768,0.012572372870999999
1.768,0.012447061061999997
1.768,0.012407708667
1.768,0.012336770492
1.768,0.012051609668999999
1.768,0.011919205807999998
1.768,0.011837784460999999
1.768,0.011819947714999997
1.768,0.011627774179999997
1.768,0.011606203765999998
1.768,0.011578256254
1.768,0.011518832313999999
1.768,0.011350582680999997
1.768,0.011105524769999999
1.768,0.011072516354999999
1.768,0.010328558859999999
1.768,0.010273433626999998
1.768,0.010139429674999998
1.768,0.009917560496999999
1.768,0.009519688368999999
1.768,0.009328929548999997
1.768,0.009255636282999999
1.768,0.009126442745999999
1.768,0.009034688172
1.768,0.008944601091999997
1.768,0.008541028298999997
1.768,0.008514956933
1.768,0.008183772419
1.768,0.007990954265999997
1.768,0.007653031357999998
1.768,0.007362228542999999
1.768,0.007018482044999999
1.768,0.007007400516
1.768,0.006821410850999999
1.768,0.006545423978
1.768,0.006450261452999999
1.768,0.005438186957999999
1.768,0.005146454740999999
1.768,0.005137723073
1.768,0.005054250986999998
1.768,0.005039653576999999
1.768,0.004936228693
1.768,0.004400994729999999
1.768,0.004305779971
1.768,0.003888196198
1.768,0.003587058172999999
1.768,0.003231746190999999
1.768,0.003032418869999999
1.768,0.0023535114
1.768,0.002352033485
1.768,0.002300923491999999
1.768,0.002276994872
1.768,0.002258501554999999
1.772,0.006068897955999999
1.772,0.006016251042999999
